front,back,tags
reply,"No, Mr. Griffiths, I don’t,""replied Clyde quickly, alive at once to the possibilities of this query. <br><br> ""Yes, I think Mason would have a hard time proving that they weren’t made that way,""replied Belknap. <br><br> So I do,""replied Ratterer,""but can’t I have a good time without lappin’ up everything in the place?",theodore-dreiser_an-american-tragedy
girl,"Only to think of being married to such a girl, when all such as this would become an everyday state. <br><br> The girl appears to be not more than twenty-five, five feet five inches tall, and weighs 130 pounds. <br><br> He could not do a thing like that - hit anyone - a girl - Roberta - and when drowning or struggling.",theodore-dreiser_an-american-tragedy
begin,"In spite of himself, he began to tingle with helpless pain - to begin to wish that he could see them. <br><br> And now, not only Sparser but Higby, and this in spite of Clyde, began to show Hortense attention. <br><br> You might as well know a little about this as long as you’re going to begin in the shrinking room.",theodore-dreiser_an-american-tragedy
eye,"""Here’s a dollar bill, son,""said the eye seemingly - and now a hand appeared holding a paper dollar. <br><br> And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> Tall, long black cut-a-way coat, wide, black derby pulled low over his eyes, pearl-gray spats, too.",theodore-dreiser_an-american-tragedy
oh,"But instead she merely said:""Oh, I wish you could have been with me all the time in Lycurgus, Mamma. <br><br> Oh, nothing, except she’s been in with about eight different men around here since I’ve been here. <br><br> ""Oh, well, you can’t expect a fellow in my line to get in early always, Ma,""was all Ratterer said.",theodore-dreiser_an-american-tragedy
marry,"I’ve been thinking about it and I don’t see any way out of it unless - unless you, well, marry me. <br><br> No serious consideration of the fact that Roberta then and there was demanding that he marry her. <br><br> Wasn’t it because of her promise to marry him in the fall that he had decided to kill Miss Alden?",theodore-dreiser_an-american-tragedy
mother,"He expected his mother would be as astonished and puzzled as he was - quick and curious for details. <br><br> After an hour, his mother came out, her basket apparently empty, for she held it lightly in her hand. <br><br> For she was dubious as to whether her mother would not consider that her aspirations were a bit high.",theodore-dreiser_an-american-tragedy
connection,"In fact, he had never had occasion to lie in connection with anything so trying - and so despicably. <br><br> And yet because of his vain hope in connection with it, he had chosen to cut himself off in this way. <br><br> Distinctly the problem in connection with him that she had been fearing this long while was upon her.",theodore-dreiser_an-american-tragedy
decide,"But how remarkable that he should be taken up now, just when he had about decided that they would not. <br><br> The hour was to be eight and he decided that for that occasion, anyhow, a reunion would be acceptable. <br><br> Well, we’ll see about that later,""and deciding that unquestionably Clyde was a plotter and a murderer.",theodore-dreiser_an-american-tragedy
sir,"And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> ""Yes, sir,""replied Clyde, very deferentially and half bowing in the presence of so great a man. <br><br> ""Well, yes, sir, that is, I wouldn’t say that I like it exactly,""replied Clyde quite honestly.",theodore-dreiser_an-american-tragedy
regard,"They were never together any more without his insisting upon the real depth of her regard for him. <br><br> ""There’s been a distake"" (she meant to say mistake) ""in regard to this bundle upstairs,""she began. <br><br> But he, true to his previous mood in regard to Clyde, was not inclined to share his son’s opinion.",theodore-dreiser_an-american-tragedy
boat,"For that would bring her into the boat again, without his bag, which would be safe and dry on land. <br><br> And none upon the side or bottom of the boat, which had been brought to Bridgeburg for examination. <br><br> But how about the boat now and that bag and his going up to this Finchley girl’s place afterwards?",theodore-dreiser_an-american-tragedy
yes,"""Yes, I think Mason would have a hard time proving that they weren’t made that way,""replied Belknap. <br><br> And Alden, after looking at it and wiping his eyes with the back of his hand, announcing:""Yes, sir."" <br><br> ""Why, yes it is,""she laughed, puzzled, and again just the least bit abashed by the reality of him.",theodore-dreiser_an-american-tragedy
coat,"Could she, by any chance, have the coat for one hundred and fifteen dollars on an easy payment plan? <br><br> Tall, long black cut-a-way coat, wide, black derby pulled low over his eyes, pearl-gray spats, too. <br><br> It’s copied from one of the smartest coats that was in New York last summer before the season opened.",theodore-dreiser_an-american-tragedy
letter,"There was a letter in the girl’s pocket addressed to someone in Biltz, Mimico County, a Mrs. Alden. <br><br> If only he had gone on in that wood at Bear Lake, taking his suit case and Sondra’s letters with him. <br><br> And without hesitancy, therefore, he took the letter and looked at it, then returned it with a smile.",theodore-dreiser_an-american-tragedy
room,"Since he knew that the southeast front room upstairs contained Esta, he proceeded there and knocked. <br><br> She went to a small shabby desk, which was a part of the sparse and colorless equipment of the room. <br><br> ""I need a room for someone who is sick and hasn’t much money, but it’s not so easy to find either.""",theodore-dreiser_an-american-tragedy
moment,"But then, not at that very moment - but in the interim following, the invitation from the Griffiths. <br><br> His jaws moved slightly, then set - because at the moment he became conscious that they were moving. <br><br> Still there was this temporary vacancy, and it was the only one in the whole factory at the moment.",theodore-dreiser_an-american-tragedy
smile,"""The sister of the good-looking Jill,""a cynical and yet amused smile played about her mouth and eyes. <br><br> You’ve got such beautiful eyes, Sondra, and such a lovely mouth and chin, and such a wonderful smile. <br><br> And without hesitancy, therefore, he took the letter and looked at it, then returned it with a smile.",theodore-dreiser_an-american-tragedy
trouble,"His mind was troubled with hard, abrasive thoughts as to what the druggist might think, look or say. <br><br> All the time he was troubled by the notion that his small, round, tight-fitting hat might fall off. <br><br> But anyhow, it wasn’t so very long after that before she got in trouble and then - well - "" ""I see.",theodore-dreiser_an-american-tragedy
suppose,"Do you suppose they’re not going to remember all about you and her when they learn that she is dead? <br><br> I suppose you must have done a lot of dancing before you came here - in Chicago, wasn’t it, or where? <br><br> In the woods, I suppose, waiting for the town to wake up so you wouldn’t look so much out of place.",theodore-dreiser_an-american-tragedy
lake,"The lake - the lake - that you have seen - that I have shown you - is it not ideal for the purpose? <br><br> If only he had gone on in that wood at Bear Lake, taking his suit case and Sondra’s letters with him. <br><br> Charged with the killing of Miss Roberta Alden at Big Bittern Lake in the Adirondacks on July 8 last.",theodore-dreiser_an-american-tragedy
